"","gvkey","datadate","primiss","prccm","prchm","prclm","trfm","trt1m","mkvalincl","Month","Year"
"1","1003",2010-01-31,"P",0.02,0.02,0.02,1,0,"Y",1,2010
"2","1003",2010-02-28,"P",0.02,0.02,0.02,1,0,"Y",2,2010
"3","1003",2010-03-31,"P",0.02,0.5,0.02,1,0,"Y",3,2010
"4","1003",2010-04-30,"P",0.02,0.02,0.02,1,0,"Y",4,2010
"5","1003",2010-05-31,"P",0.02,0.02,0.02,1,0,"Y",5,2010
"6","1003",2010-06-30,"P",0.02,0.02,0.02,1,0,"Y",6,2010
"7","1003",2010-07-31,"P",0.02,0.02,0.02,1,0,"Y",7,2010
"8","1003",2010-08-31,"P",0.02,0.02,0.02,1,0,"Y",8,2010
"9","1003",2010-09-30,"P",0.02,0.02,0.02,1,0,"Y",9,2010
"10","1003",2010-10-31,"P",0.02,0.02,0.02,1,0,"Y",10,2010
"11","1003",2010-11-30,"P",0.02,0.02,0.02,1,0,"Y",11,2010
"12","1003",2010-12-31,"P",0.02,0.02,0.02,1,0,"Y",12,2010
"13","1003",2011-01-31,"P",0.02,0.02,0.02,1,0,"Y",1,2011
"14","1003",2011-02-28,"P",0.02,0.02,0.02,1,0,"Y",2,2011
"15","1003",2011-03-31,"P",0.02,0.02,0.02,1,0,"Y",3,2011
"16","1003",2011-04-30,"P",0.02,0.02,0.02,1,0,"Y",4,2011
"17","1003",2011-05-31,"P",0.02,0.02,0.02,1,0,"Y",5,2011
"18","1003",2011-06-30,"P",0.02,0.02,0.02,1,0,"Y",6,2011
"19","1003",2011-07-31,"P",0.02,0.02,0.02,1,0,"Y",7,2011
"20","1003",2011-08-31,"P",0.02,0.02,0.02,1,0,"Y",8,2011
"21","1003",2011-09-30,"P",0.02,0.02,0.02,1,0,"Y",9,2011
"22","1003",2011-10-31,"P",0.02,0.02,0.02,1,0,"Y",10,2011
"23","1003",2011-11-30,"P",0.02,0.02,0.02,1,0,"Y",11,2011
"24","1003",2011-12-31,"P",0.02,0.02,0.02,1,0,"Y",12,2011
"25","1003",2012-01-31,"P",0.02,0.02,0.02,1,0,"Y",1,2012
"26","1003",2012-02-29,"P",0.02,0.02,0.02,1,0,"Y",2,2012
"27","1003",2012-03-31,"P",0.02,0.02,0.02,1,0,"Y",3,2012
"28","1003",2012-04-30,"P",0.02,0.02,0.02,1,0,"Y",4,2012
"29","1003",2012-05-31,"P",0.02,0.02,0.02,1,0,"Y",5,2012
